id,status,source_accesses,modeled_accesses,element_ca,line_ca,csrd_ca,line_mean_rd,cold_fraction,wall_seconds,artifact_bytes,reference_l1,reference_llc,reference_memory,global_rd_l1,global_rd_llc,global_rd_memory,csrd_l1,csrd_llc,csrd_memory,global_rd_ae_l1,global_rd_ae_llc,global_rd_ae_memory,csrd_ae_l1,csrd_ae_llc,csrd_ae_memory,error
packed_8,ok,24,24,0.125,1.0,1.0,0.0,0.041666666666666664,0.4078705869615078,5207143,0.9583333333333334,0.0,0.041666666666666664,0.9583333333333334,0.0,0.041666666666666664,0.9583333333333334,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,
spread_3,ok,9,9,0.3333333333333333,0.3333333333333333,1.0,2.0,0.3333333333333333,0.4020248600281775,5193879,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,
conflict_3,ok,9,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,0.3333333333333333,0.3672429393045604,5194157,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,
spread_4,ok,12,12,0.25,0.25,1.0,3.0,0.3333333333333333,0.3502665562555194,5196614,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,
conflict_4,ok,12,12,0.25,0.25,0.25,3.0,0.3333333333333333,0.40111773926764727,5196869,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,
spread_5,ok,15,15,0.2,0.2,1.0,4.0,0.3333333333333333,0.40028665121644735,5199326,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,
conflict_5,ok,15,15,0.2,0.2,0.2,4.0,0.3333333333333333,0.4020438059233129,5199776,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,
spread_8,ok,24,24,0.125,0.125,1.0,7.0,0.3333333333333333,0.40175193501636386,5207417,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,
conflict_8,ok,24,24,0.125,0.125,0.125,7.0,0.3333333333333333,0.4011108069680631,5207926,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,
capacity_256,ok,768,768,0.00390625,0.00390625,0.5,255.0,0.3333333333333333,0.4292713268660009,5880130,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,
capacity_448,ok,1344,1344,0.002232142857142857,0.002232142857142857,0.28,447.0,0.3333333333333333,0.46881094155833125,6401414,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,
capacity_511,ok,1533,1533,0.0019569471624266144,0.0019569471624266144,0.25036746692797646,510.0,0.3333333333333333,0.443694612942636,6572679,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,
capacity_512,ok,1536,1536,0.001953125,0.001953125,0.25,511.0,0.3333333333333333,0.5076820449903607,6575380,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,
capacity_513,ok,1539,1539,0.001949317738791423,0.001949317738791423,0.2493923189110355,512.0,0.3333333333333333,0.5066961962729692,6587628,0.6601689408706952,0.00649772579597141,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6601689408706952,0.00649772579597141,0.3333333333333333,0.6601689408706952,0.6601689408706952,0.0,0.0,0.0,0.0,
capacity_576,ok,1728,1728,0.001736111111111111,0.001736111111111111,0.21951219512195122,575.0,0.3333333333333333,0.5116909481585026,6765579,0.2962962962962963,0.37037037037037035,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.2962962962962963,0.37037037037037035,0.3333333333333333,0.2962962962962963,0.2962962962962963,0.0,0.0,0.0,0.0,
capacity_1024,ok,3072,3072,0.0009765625,0.0009765625,0.125,1023.0,0.3333333333333333,0.5532422177493572,8005750,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,
capacity_32768,ok,98304,98304,3.0517578125e-05,3.0517578125e-05,0.00390625,32767.0,0.3333333333333333,4.940228741616011,96118471,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,
capacity_61440,ok,184320,184320,1.6276041666666666e-05,1.6276041666666666e-05,0.0020833333333333333,61439.0,0.3333333333333333,9.018042433075607,176042066,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,
